id,created_at,updated_at,url,name,user_id,rank,totalRanks,searchRank,title,image_url,description
955,"2017-05-17 17:35:56","2017-05-17 17:35:56",https://www.coursera.org/learn/inductive-reasoning,"Think Again III: How to Reason Inductively | Coursera",2,0.00,0,0.00,"Think Again III: How to Reason Inductively | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/topics/thinkagain/large-icon.png,"Think Again III: How to Reason Inductively from Duke University. How to Reason Inductively  Think Again: How to Reason and Argue Reasoning is important. This series of four short courses wi.."
956,"2017-05-17 17:35:59","2017-05-17 17:35:59",https://www.coursera.org/learn/deductive-reasoning,"Think Again II: How to Reason Deductively | Coursera",2,0.00,0,0.00,"Think Again II: How to Reason Deductively | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/topics/thinkagain/large-icon.png,"Think Again II: How to Reason Deductively from Duke University. How to Reason Deductively  Think Again: How to Reason and Argue Reasoning is important. This series of four short courses wil.."
954,"2017-05-17 17:35:48","2017-05-17 17:35:48",https://www.coursera.org/learn/emotions,"Emotions: a Philosophical Introduction | Coursera",2,0.00,0,0.00,"Emotions: a Philosophical Introduction | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/ea/be4a3086a611e481a2af187d5cfc8a/logo--a-600x340.png,"Emotions: a Philosophical Introduction from Universitat Autònoma de Barcelona. Philosophy is like sex: sure you can get some interesting results, but that's not why we do it. Going one ste.."
953,"2017-05-17 17:35:46","2017-05-17 17:35:46",https://www.coursera.org/learn/oceanography,"Oceanography: a key to better understand our world | Coursera",2,0.00,0,0.00,"Oceanography: a key to better understand our world | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/64/384500e5ec11e5a648278005d8567a/A-foto-presentacion-oceanografia_articleSlider.png,"Oceanography: a key to better understand our world from Universitat de Barcelona, Fundació Navegació Oceànica Barcelona. The course for a round the world regatta leads the boats through .."
952,"2017-05-17 17:35:08","2017-05-17 17:35:08",https://www.coursera.org/learn/mindfulness,"De-Mystifying Mindfulness | Coursera",2,0.00,0,0.00,"De-Mystifying Mindfulness | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/3a/b867f06f1c11e69e475d810413efec/DMLOGO.jpg,"De-Mystifying Mindfulness from Universiteit Leiden. Interest in meditation, mindfulness, and contemplation has grown exponentially in recent years.  Rather than being seen as mystical pract.."
951,"2017-05-17 17:34:43","2017-05-17 17:34:43",https://www.coursera.org/learn/advancedneurobiologyii,"Advanced Neurobiology II | Coursera",2,0.00,0,0.00,"Advanced Neurobiology II | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/a5/1dd8c0f26a11e5aee8ab92f05a6b46/1200x1200_________2.png,"Advanced Neurobiology II from Peking University. Hello everyone! Welcome to advanced neurobiology!  Neuroscience is a wonderful branch of science on how our brain perceives the external wor.."
950,"2017-05-17 17:34:37","2017-05-17 17:34:37",https://www.coursera.org/learn/functional-mri,"Principles of fMRI 1 | Coursera",2,0.00,0,0.00,"Principles of fMRI 1 | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/bc/c690e0321511e59e897b718bb90537/fmri1.png,"Principles of fMRI 1 from Johns Hopkins University, University of Colorado Boulder. This course covers the design, acquisition, and analysis of Functional Magnetic Resonance Imaging (fMRI) .."
949,"2017-05-17 17:34:18","2017-05-17 17:34:18",https://www.coursera.org/learn/visual-perception,"Visual Perception and the Brain | Coursera",2,0.00,0,0.00,"Visual Perception and the Brain | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/45/a07cf0c43311e5ac05adeb085a17df/vispercep_icon-1-26.jpg,"Visual Perception and the Brain from Duke University. Learners will be introduced to the problems that vision faces, using perception as a guide. The course will consider how what we see is.."
948,"2017-05-17 17:34:14","2017-05-17 17:34:14",https://www.coursera.org/learn/advanced-neurobiology1,"Advanced Neurobiology I | Coursera",2,0.00,0,0.00,"Advanced Neurobiology I | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/e2/9e8d50e0f111e5883d236f4d099647/1200x1200________.png,"Advanced Neurobiology I from Peking University. Hello everyone! Welcome to advanced neurobiology!  Neuroscience is a wonderful branch of science on how our brain perceives the external worl.."
947,"2017-05-17 17:34:05","2017-05-17 17:34:05",https://www.coursera.org/learn/human-brain,"The Brain and Space | Coursera",2,0.00,0,0.00,"The Brain and Space | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/96/8feec0c05011e5bb8d1741d4288bfa/brain_icon-square.jpg,"The Brain and Space from Duke University. This course is about how the brain creates our sense of spatial location from a variety of sensory and motor sources, and how this spatial sense in.."
